,unified_app_id,app_name,absolute_downloads,delta_downloads,transformed_delta_downloads,absolute_revenue,delta_revenue,transformed_delta_revenue,publisher_name,publisher_country,icon_url
170,5eaa351769944c1404d0d2ac,CityMall - Online Grocery Shop,6379345,5081136,3.913958384204701,0.0,0.0,0.0,CityMall Live,,https://is4-ssl.mzstatic.com/image/thumb/Purple122/v4/40/a6/83/40a6832a-cf38-9727-e99a-693c9072ead4/AppIcon-0-0-1x_U007emarketing-0-0-0-10-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/450x450bb.jpg
171,5379cebc830f782dbe006228,PULL&BEAR,6258985,-780022,-0.1108142100157025,0.0,0.0,0.0,INDITEX,Spain,https://is1-ssl.mzstatic.com/image/thumb/Purple113/v4/2c/a2/12/2ca212f7-7263-3e10-17a5-d4c05934ad5c/AppIcon-1x_U007emarketing-0-6-0-85-220.png/450x450bb.jpg
172,561cab4902ac64a2a5000004,Flipkart Health+,6251313,5608347,8.72261830330064,0.0,0.0,0.0,Microsec HealthBuddy Limited,,https://is4-ssl.mzstatic.com/image/thumb/Purple122/v4/e0/b7/4a/e0b74a53-1af2-383d-3acf-ae37da9dba7a/AppIcon-1x_U007emarketing-0-7-0-85-220.png/450x450bb.jpg
173,55a5d217329adfaf9f0007d7,LimeRoad Online Shopping App,6238668,1590220,0.3420969751624628,0.0,0.0,0.0,Limeroad,India,https://is2-ssl.mzstatic.com/image/thumb/Purple116/v4/85/59/cf/8559cf83-b155-4450-2c89-3a1d98075375/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/450x450bb.jpg
174,55d93ea702ac645ad210ed0c,识货-运动潮流的好物和好价,6238612,-475602,-0.07083509700465311,13967.128571428571,12746.885714285714,10.44618752707306,"Shanghai Shizhi Information Technology Co., Ltd.",China,https://is3-ssl.mzstatic.com/image/thumb/Purple123/v4/5f/5e/ee/5f5eeef7-6f51-f804-b6f6-de6ef34bc0aa/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/450x450bb.jpg
175,600644d6b5485a499a3bbf0a,Mamaearth: Beauty Shopping App,6209685,530383,0.09338876502781504,0.0,0.0,0.0,Honasa Consumer Limited,,https://assets.sensortower-china.com/oTIKUx16gT60f54mye0yYrvbtL-qIupLk1qtH6V-4mQaCLcUw8qCfpcaGi5GYi1ZNQ=s150
176,617028cac299015c04505133,Asda Rewards,6197064,6132028,94.28667199704779,0.0,0.0,0.0,ASDA Stores Ltd,Mexico,https://is5-ssl.mzstatic.com/image/thumb/Purple112/v4/49/2f/59/492f5924-0d05-ff51-4636-e69898baed26/AppIcon-0-0-1x_U007emarketing-0-0-0-5-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/450x450bb.jpg
177,5664d34f02ac64c684000072,Zalando Lounge,6170201,-2732833,-0.3069552469416605,0.0,0.0,0.0,Zalando SE,Germany,https://is1-ssl.mzstatic.com/image/thumb/Purple113/v4/2f/cf/21/2fcf21a0-2d0c-c840-7d3e-2cddfeb4faf5/AppIcon-0-1x_U007emarketing-0-7-0-85-220.png/450x450bb.jpg
178,564e009502ac647a95000049,Dunkin' DE,6134843,-51611,-0.008342582034878138,0.0,0.0,0.0,Yoyo SA (PTY) Ltd,South Africa,https://is4-ssl.mzstatic.com/image/thumb/Purple122/v4/92/f2/fc/92f2fcfa-18c3-0547-ef8c-79adb5c0f9cb/AppIcon-1x_U007emarketing-0-5-85-220.png/450x450bb.jpg
179,56cb98dd0f15d1c04700017a,Little Caesars Türkiye,6124414,168423,0.02827791378462459,0.0,0.0,0.0,Little Caesars Türkiye,,https://is3-ssl.mzstatic.com/image/thumb/Purple115/v4/dd/f7/05/ddf705d4-baf8-e0a8-eecb-f366263379c8/AppIcon-0-0-1x_U007emarketing-0-0-0-8-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/450x450bb.jpg
180,5727fd2ae4442a0861000d29,LINE MAN: Food Delivery,6053063,823808,0.1575383109066205,0.0,0.0,0.0,LINE MAN CORPORATION PTE. LTD.,,https://is3-ssl.mzstatic.com/image/thumb/Purple123/v4/98/a3/5b/98a35b05-798b-fd87-4fb4-bd74e00fd2ef/AppIcon-0-1x_U007emarketing-0-5-0-85-220.png/450x450bb.jpg
181,5570faecea022c095100042e,Lojas Renner,6050186,-3216894,-0.3471313509757118,0.0,0.0,0.0,Lojas Renner,Brazil,https://is5-ssl.mzstatic.com/image/thumb/Purple123/v4/94/89/a1/9489a151-9f58-b739-2e06-cd68e90da905/AppIcon-0-0-1x_U007emarketing-0-0-0-10-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/450x450bb.jpg
182,5b3d411e99303132786f710f,Samokat: Food Delivery,6048798,-888002,-0.1280132049359936,0.0,0.0,0.0,RSA Ltd,,https://is3-ssl.mzstatic.com/image/thumb/Purple123/v4/4b/c6/da/4bc6da43-9bfd-17c1-409b-fe679e018476/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/450x450bb.jpg
183,5de5faf40305126f4ddca01a,craigslist: local marketplace,6026650,-314488,-0.04959488344205724,0.0,0.0,0.0,craigslist,,https://is2-ssl.mzstatic.com/image/thumb/Purple122/v4/ea/2f/a8/ea2fa826-ad71-489f-28cb-ec607779cc20/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/450x450bb.jpg
184,57469e54bd495109ce00220f,ShopBack - Shop,6008944,-2557606,-0.298557295527371,0.0,0.0,0.0,eCommerce Enablers Pte Ltd,,https://is4-ssl.mzstatic.com/image/thumb/Purple113/v4/97/a7/14/97a7143a-fcc7-9d86-19b7-eba1c4efe33d/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/450x450bb.jpg
185,55d9593502ac645ad23198fa,Едадил — скидки в магазинах,6002020,2875016,0.919415517217119,0.0,0.0,0.0,Intertech Services AG,Switzerland,https://is2-ssl.mzstatic.com/image/thumb/Purple123/v4/6d/77/cc/6d77cc5b-5b6c-d77c-808a-bcdd15a86087/AppIcon-1x_U007emarketing-0-7-0-sRGB-85-220.png/450x450bb.jpg
186,55ef0dc49ef1219cb8002d57,DeFacto - Giyim,5951110,2617309,0.7850825529178256,0.0,0.0,0.0,DEFACTO PERAKENDE TICARET A.S.,,https://is2-ssl.mzstatic.com/image/thumb/Purple113/v4/ba/d5/80/bad58089-955a-c3ee-ac04-0097416e1245/AppIcon-0-0-1x_U007emarketing-0-0-0-5-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/450x450bb.jpg
187,564b51dc663a59bb4900571d,Smytten: Trial Pack,5943643,1594389,0.3665890748160489,0.0,0.0,0.0,Surfboats Solutions Private Limited,,https://is3-ssl.mzstatic.com/image/thumb/Purple123/v4/bf/e1/fc/bfe1fcfd-54ae-0ee5-508c-6226db6f5ded/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/450x450bb.jpg
188,56fb22c91e1a2f9512014aad,Спортмастер,5899151,357326,0.06447803746960613,0.0,0.0,0.0,"ООО ""Спортмастер""",,https://is2-ssl.mzstatic.com/image/thumb/Purple123/v4/0f/5b/8f/0f5b8f95-a9f7-aa73-e512-3bee55597493/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/450x450bb.jpg
189,58759392907df85f7000017d,DMart Ready Online Grocery App,5894803,1420576,0.3175019953167329,0.0,0.0,0.0,Avenue E-Commerce Ltd.,,https://is2-ssl.mzstatic.com/image/thumb/Purple123/v4/8a/5d/83/8a5d83c5-d5b9-9d1a-1a2c-e3c2037553db/AppIcon-0-0-1x_U007emarketing-0-0-0-4-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/450x450bb.jpg
190,562316409b1f36997f003bd5,Юла: объявления рядом,5847049,-706569,-0.1078135771721818,0.0,0.0,0.0,V Kontakte OOO,Russia,https://is4-ssl.mzstatic.com/image/thumb/Purple113/v4/f9/a6/66/f9a66654-8d22-43a4-21a6-b50dabe37669/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/450x450bb.jpg
191,5570eb68baaed150520001bb,MyEdenred,5808201,2915662,1.00799401494673,0.0,0.0,0.0,Edenred,India,https://is2-ssl.mzstatic.com/image/thumb/Purple112/v4/1d/b6/50/1db650c3-ff01-05c2-d205-d302188c3f64/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/450x450bb.jpg
192,5da3d979c8d36328231042e1,Mein dm,5803288,3241960,1.265734025474285,0.0,0.0,0.0,dm-drogerie markt GmbH + Co. KG,Germany,https://is1-ssl.mzstatic.com/image/thumb/Purple112/v4/37/19/15/371915fb-6662-d6e7-7e04-0a15f907c3c8/AppIcon-1x_U007emarketing-0-5-0-85-220.png/450x450bb.jpg
193,60253d7816e2272bc24c6c89,Lotus's,5777545,4445477,3.337274823807793,0.0,0.0,0.0,"Ek-Chai Distribution System Co., Ltd",,https://is4-ssl.mzstatic.com/image/thumb/Purple113/v4/66/a5/5a/66a55a0e-1ebe-fffd-7f46-d837cd53ba6f/AppIcon-0-0-1x_U007emarketing-0-0-0-5-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/450x450bb.jpg
194,57c5ad7b764e700a740047cc,Watsons Türkiye,5749338,1159959,0.2527485744803382,0.0,0.0,0.0,A.S. Watson Guzellik ve Bakim Urunleri Ticaret Anonim Sirketi,,https://is2-ssl.mzstatic.com/image/thumb/Purple123/v4/3a/a3/6f/3aa36f23-716a-402a-3c0f-1a099ca3615c/AppIcon-0-1x_U007emarketing-0-7-0-sRGB-85-220.png/450x450bb.jpg
